"","YaleID","Accession.ID"
"559","Yale-5337","EPI_ISL_2501719"
"560","Yale-5313","EPI_ISL_2501679"
"561","Yale-5321","EPI_ISL_2501696"
"562","Yale-4917","EPI_ISL_2501674"
"563","Yale-4855","EPI_ISL_2296442"
"564","Yale-4146","EPI_ISL_1963775"
"565","Yale-4199","EPI_ISL_1963822"
"566","Yale-5794","EPI_ISL_2860317"
"567","Yale-5309","EPI_ISL_2501678"
"568","Yale-5786","EPI_ISL_2860313"
"569","Yale-4133","EPI_ISL_2621726"
"570","Yale-5878","EPI_ISL_2960040"
"571","Yale-5899","EPI_ISL_2960049"
"572","Yale-5766","EPI_ISL_2860306"
"573","Yale-6080","EPI_ISL_3025423"
"574","Yale-6096","EPI_ISL_3025428"
"575","Yale-6092","EPI_ISL_3025426"
"576","Yale-6098","EPI_ISL_3025429"
"577","Yale-6110","EPI_ISL_3025434"
"578","Yale-6105","EPI_ISL_3025432"
"579","Yale-4288","EPI_ISL_2020762"
"580","Yale-4677","EPI_ISL_2159611"
"581","Yale-4284","EPI_ISL_2020758"
"582","Yale-3941","EPI_ISL_2034865"
"583","Yale-4570","EPI_ISL_2158991"
"584","Yale-6111","EPI_ISL_3025435"
"585","Yale-4904","EPI_ISL_2426114"
"586","Yale-5677","EPI_ISL_2776213"
"587","Yale-4157","EPI_ISL_1963786"
"588","Yale-4044","EPI_ISL_2035001"
"589","Yale-4115","EPI_ISL_2035091"
"590","Yale-4034","EPI_ISL_2034989"
"591","Yale-4048","EPI_ISL_2035006"
"592","Yale-3917","EPI_ISL_1963749"
"593","Yale-4875","EPI_ISL_2296462"
"594","Yale-4110","EPI_ISL_2035083"
"595","Yale-5563","EPI_ISL_2716232"
"596","Yale-5560","EPI_ISL_2716229"
"597","Yale-4470","EPI_ISL_2023148"
"598","Yale-4643","EPI_ISL_2159101"
"599","Yale-4684","EPI_ISL_2159618"
"600","Yale-5588","EPI_ISL_2716251"
"601","Yale-4038","EPI_ISL_2034993"
"602","Yale-4627","EPI_ISL_2159075"
"603","Yale-5767","EPI_ISL_2860307"
"604","Yale-5765","EPI_ISL_2860305"
